GENERO,DAP (m),MATAPALO
Tab,0.58,1
Tab,0.59,1
Tab,0.29,1
Tab,0.22,1
Tab,0.55,1
Tab,0.13,1
Tab,0.67,1
Tab,0.52,1
Tab,0.57,1
Tab,0.3,1
Tab,0.34,1
C,0.065,1
C,0.06,1
C,0.22,1
C,0.36,1
C,0.66,1
C,0.07,1
C,0.23,1
C,0.16,1
C,0.195,1
C,0.14,1
C,0.32,1
C,0.15,1
C,0.19,1
Jac,0.21,1
Jac,0.39,1
Jac,0.59,1
Jac,0.235,1
Jac,0.095,1
Jac,0.23,1
Jac,0.145,1
Jac,0.21,1
Jac,0.175,1
Jac,0.09,1
Jac,0.195,1
Jac,0.16,1
Jac,0.195,1
Cup,0.42,1
Cup,0.48,1
Cup,0.52,1
Cup,0.23,1
Cup,0.44,1
Cup,0.34,1
Cup,0.475,1
Cass,0.42,1
Cass,0.56,1
Cass,0.39,1
Cass,0.79,1
Cass,0.46,1
Cass,0.69,1
Cass,0.66,1
Cass,0.56,1
Trich,0.046666,1
Trich,0.1,1
Trich,0.11,1
Trich,0.09,1
Trich,0.08,1
Trich,0.065,1
Trich,0.11,1
Trich,0.1,1
Trich,0.07,1
Pi,0.73,1
Pi,0.48,1
Pi,0.46,1
Pi,0.56,1
Pi,0.64,1
Pi,0.56,1
Pi,0.41,1
Pi,0.47,1
Pi,0.45,1
Pi,0.36,1
Pi,0.51,1
Pi,0.41,1
Pi,0.47,1
Pi,0.52,1
Pi,0.54,1
Pi,0.58,1
Psi,0.05,1
Ac,0.0475,1
Ac,0.11,1
Ac,0.12,1
F,0.53,1
F,0.55,1
F,0.26333333,1
F,0.12666667,1
F,0.265,1
Ard,0.05,1
Mang,0.12,1
Mang,0.065,1
Mang,0.36666667,1
Mang,0.25,1
Mang,0.1625,1
Cecr,0.15,1
Psi.g,0.14,1
Arau,0.265,1
Arau,0.27,1
Arau,0.14,1
Arau,0.3,1
Arau,0.3,1
Arau,0.25,1
Arau,0.28,1
Arau,0.18,1
Arau,0.32,1
Arau,0.36,1
Arau,0.39,1
Arau,0.42,1
Arau,0.27,1
Arau,0.31,1
Arau,0.3,1
Arau,0.345,1
Arau,0.39,1
Arau,0.23,1
Spat,0.325,1
Spat,0.35,1
Spat,0.38,1
Spat,0.22,1
Spat,0.17,1
Spat,0.59,1
Spat,0.0425,1
Spat,0.34,1
Cor,0.39,1
Per,0.08,1
Per,0.04,1
Per,0.21,1
Cit,0.04,1
Lig,0.14333333,1
Lig,0.07333333,1
Eu,0.54,1
Eu,0.59,1
Eu,0.31,1
Eu,0.62,1
Eu,0.73,1
Eu,0.38,1
Sen,0.03222222,1
Sen,0.09,1
Verb,0.135,1
Verb,0.13,1
Verb,0.1,1
Verb,0.04,1
Verb,0.105,1
Ced,0.25,1
Ced,0.21,1
Ced,0.17,1
Ced,0.27,1
Sw,0.23,1
Sw,0.26,1
Cest,0.0525,1
Cest,0.23333,1
Sch,0.085,1
Sch,0.095,1
Sch,0.175,1
Sch,0.09,1
Sch,0.08,1
Cam,0.42,1
Sap,0.06,1
Sap,0.3,1
Sap,0.06666667,1
Cor,0.325,1
Cor,0.69,1
Cor,0.61,1
Cor,0.13,1
Cor,1.19,1
Gli,0.19,1
Gli,20.5,1
Dyp,0.17,1
Dyp,0.43,1
Sap,0.11,1
Arto,0.17,1
Arto,0.16,1
Cinn,0.63,1
Syz,0.176666,1
F,0.9375,0
F,1.2,0
Ac,0.08,0
Trich,0.16,0
Trich,0.257,0
Sol,0.04,0
Lig,0.13,0
Lig,0.11,0
Lig,0.135,0
Lig,0.13,0
Lig,0.22666667,0
Sim,0.21333333,0
Lig,0.315,0
F,1.49,0
Syz,1.235,0
Per,1.04,0
Cass,0.5,0
Verb,0.32,0
Verb,0.12,0
Eu,1.51,0
Eu,0.87,0
Eu,0.62,0
Syz,1.15,0
Syz,0.286,0
Syz,0.178,0
Syz,0.1875,0
C,0.22,0
Sch,0.16,0
